Tanggal,Periode,High_Stock
7/9/2012,1,32.880001
7/16/2012,2,30.5
7/23/2012,3,29.49
7/30/2012,4,24.040001
8/6/2012,5,22.450001
8/13/2012,6,22.450001
8/20/2012,7,20.129999
8/27/2012,8,19.530001
9/3/2012,9,19.42
9/10/2012,10,22.08
9/17/2012,11,23.370001
9/24/2012,12,21.98
10/1/2012,13,22.59
10/8/2012,14,20.75
10/15/2012,15,20.48
10/22/2012,16,24.25
10/29/2012,17,21.690001
11/5/2012,18,21.48
11/12/2012,19,23.93
11/19/2012,20,24.68
11/26/2012,21,28
12/3/2012,22,28.879999
12/10/2012,23,28.75
12/17/2012,24,28.219999
12/24/2012,25,27.18
12/31/2012,26,28.93
1/7/2013,27,31.959999
1/14/2013,28,32.209999
1/21/2013,29,31.93
1/28/2013,30,32.509998
2/4/2013,31,29.290001
2/11/2013,32,28.75
2/18/2013,33,29.08
2/25/2013,34,28.120001
3/4/2013,35,28.68
3/11/2013,36,28.639999
3/18/2013,37,26.9
3/25/2013,38,26.280001
4/1/2013,39,27.799999
4/8/2013,40,28.1
4/15/2013,41,27.48
4/22/2013,42,27.620001
4/29/2013,43,29.07
5/6/2013,44,28.459999
5/13/2013,45,27.33
5/20/2013,46,26.190001
5/27/2013,47,24.950001
6/3/2013,48,24.32
6/10/2013,49,24.6
6/17/2013,50,25.190001
6/24/2013,51,24.98
7/1/2013,52,25.059999
7/8/2013,53,26
7/15/2013,54,26.780001
7/22/2013,55,34.880001
7/29/2013,56,38.490002
8/5/2013,57,39.32
8/12/2013,58,38.5
8/19/2013,59,40.630001
8/26/2013,60,42.259998
9/2/2013,61,44.610001
9/9/2013,62,45.619999
9/16/2013,63,47.599998
9/23/2013,64,51.279999
9/30/2013,65,51.599998
10/7/2013,66,51.290001
10/14/2013,67,54.830002
10/21/2013,68,54.810001
10/28/2013,69,52.09
11/4/2013,70,50.450001
11/11/2013,71,49.57
11/18/2013,72,48.84
11/25/2013,73,47.209999
12/2/2013,74,49.389999
12/9/2013,75,53.5
12/16/2013,76,55.889999
12/23/2013,77,58.580002
12/30/2013,78,55.650002
1/6/2014,79,58.959999
1/13/2014,80,58.57
1/20/2014,81,59.310001
1/27/2014,82,63.369999
2/3/2014,83,64.57
2/10/2014,84,67.580002
2/17/2014,85,70.110001
2/24/2014,86,71.440002
3/3/2014,87,71.970001
3/10/2014,88,72.589996
3/17/2014,89,69.599998
3/24/2014,90,67.360001
3/31/2014,91,63.91
4/7/2014,92,63.18
4/14/2014,93,60.580002
4/21/2014,94,63.650002
4/28/2014,95,62.279999
5/5/2014,96,61.349998
5/12/2014,97,60.889999
5/19/2014,98,61.48
5/26/2014,99,64.300003
6/2/2014,100,64.360001
6/9/2014,101,66.470001
6/16/2014,102,65.75
6/23/2014,103,68
6/30/2014,104,68.440002
7/7/2014,105,66.589996
7/14/2014,106,68.459999
7/21/2014,107,76.739998
7/28/2014,108,75.5
8/4/2014,109,74
8/11/2014,110,74.650002
8/18/2014,111,75.580002
8/25/2014,112,75.989998
9/1/2014,113,77.480003
9/8/2014,114,78.360001
9/15/2014,115,78.300003
9/22/2014,116,78.940002
9/29/2014,117,79.709999
10/6/2014,118,77.949997
10/13/2014,119,76
10/20/2014,120,80.82
10/27/2014,121,81.160004
11/3/2014,122,76.800003
11/10/2014,123,75.480003
11/17/2014,124,75.660004
11/24/2014,125,78.269997
12/1/2014,126,77.309998
12/8/2014,127,78.879997
12/15/2014,128,80
12/22/2014,129,82.169998
12/29/2014,130,80.959999
1/5/2015,131,79.25
1/12/2015,132,78.080002
1/19/2015,133,78.190002
1/26/2015,134,78.470001
2/2/2015,135,76.349998
2/9/2015,136,76.870003
2/16/2015,137,80.339996
2/23/2015,138,81.370003
3/2/2015,139,81.989998
3/9/2015,140,79.910004
3/16/2015,141,84.599998
3/23/2015,142,86.07
3/30/2015,143,84.339996
4/6/2015,144,83.419998
4/13/2015,145,83.940002
4/20/2015,146,85.589996
4/27/2015,147,82.93
5/4/2015,148,79.690002
5/11/2015,149,81.849998
5/18/2015,150,81.690002
5/25/2015,151,81.07
6/1/2015,152,82.949997
6/8/2015,153,82.900002
6/15/2015,154,83.190002
6/22/2015,155,89.400002
6/29/2015,156,87.949997
7/6/2015,157,88.220001
7/13/2015,158,95.389999
7/20/2015,159,99.239998
7/27/2015,160,97.279999
8/3/2015,161,98.739998
8/10/2015,162,95.900002
8/17/2015,163,96.099998
8/24/2015,164,91.480003
8/31/2015,165,91.050003
9/7/2015,166,92.080002
9/14/2015,167,95.510002
9/21/2015,168,96.489998
9/28/2015,169,92.290001
10/5/2015,170,94.269997
10/12/2015,171,97.589996
10/19/2015,172,102.849998
10/26/2015,173,105.120003
11/2/2015,174,110.650002
11/9/2015,175,109.870003
11/16/2015,176,107.879997
11/23/2015,177,107.470001
11/30/2015,178,107.919998
12/7/2015,179,106.910004
12/14/2015,180,107.75
12/21/2015,181,106.110001
12/28/2015,182,107.739998
1/4/2016,183,103.769997
1/11/2016,184,100.580002
1/18/2016,185,98.07
1/25/2016,186,112.839996
2/1/2016,187,117.589996
2/8/2016,188,105.110001
2/15/2016,189,106
2/22/2016,190,109.449997
2/29/2016,191,110.550003
